Categoria: Tutte le categorie

Mese,deep learning: (Tutto il mondo)
2004-01,2
2004-02,2
2004-03,3
2004-04,6
2004-05,4
2004-06,0
2004-07,2
2004-08,7
2004-09,2
2004-10,5
2004-11,5
2004-12,2
2005-01,2
2005-02,5
2005-03,2
2005-04,4
2005-05,3
2005-06,3
2005-07,1
2005-08,1
2005-09,2
2005-10,2
2005-11,3
2005-12,2
2006-01,2
2006-02,3
2006-03,2
2006-04,3
2006-05,1
2006-06,3
2006-07,2
2006-08,2
2006-09,3
2006-10,3
2006-11,2
2006-12,1
2007-01,2
2007-02,3
2007-03,2
2007-04,2
2007-05,4
2007-06,2
2007-07,1
2007-08,2
2007-09,2
2007-10,2
2007-11,2
2007-12,3
2008-01,2
2008-02,2
2008-03,4
2008-04,3
2008-05,4
2008-06,2
2008-07,3
2008-08,2
2008-09,2
2008-10,3
2008-11,1
2008-12,2
2009-01,2
2009-02,2
2009-03,2
2009-04,1
2009-05,3
2009-06,2
2009-07,2
2009-08,2
2009-09,2
2009-10,3
2009-11,2
2009-12,1
2010-01,2
2010-02,2
2010-03,3
2010-04,2
2010-05,2
2010-06,2
2010-07,2
2010-08,3
2010-09,1
2010-10,3
2010-11,2
2010-12,2
2011-01,2
2011-02,2
2011-03,2
2011-04,3
2011-05,2
2011-06,3
2011-07,2
2011-08,2
2011-09,3
2011-10,3
2011-11,3
2011-12,3
2012-01,2
2012-02,4
2012-03,3
2012-04,3
2012-05,3
2012-06,2
2012-07,3
2012-08,2
2012-09,4
2012-10,4
2012-11,7
2012-12,5
2013-01,4
2013-02,4
2013-03,5
2013-04,5
2013-05,6
2013-06,7
2013-07,5
2013-08,6
2013-09,6
2013-10,7
2013-11,8
2013-12,8
2014-01,9
2014-02,10
2014-03,9
2014-04,10
2014-05,10
2014-06,8
2014-07,10
2014-08,10
2014-09,13
2014-10,12
2014-11,12
2014-12,17
2015-01,19
2015-02,19
2015-03,19
2015-04,20
2015-05,22
2015-06,23
2015-07,23
2015-08,21
2015-09,23
2015-10,26
2015-11,26
2015-12,28
2016-01,32
2016-02,33
2016-03,43
2016-04,43
2016-05,40
2016-06,43
2016-07,40
2016-08,39
2016-09,46
2016-10,54
2016-11,57
2016-12,59
2017-01,63
2017-02,69
2017-03,74
2017-04,74
2017-05,75
2017-06,76
2017-07,74
2017-08,78
2017-09,83
2017-10,89
2017-11,93
2017-12,92
2018-01,96
2018-02,93
2018-03,94
2018-04,95
2018-05,97
2018-06,90
2018-07,85
2018-08,88
2018-09,92
2018-10,99
2018-11,92
2018-12,84
2019-01,99
2019-02,95
2019-03,100
2019-04,99
