Categoria: Tutte le categorie

Mese,machine learning: (Tutto il mondo)
2004-01,14
2004-02,23
2004-03,18
2004-04,18
2004-05,18
2004-06,16
2004-07,19
2004-08,15
2004-09,15
2004-10,19
2004-11,18
2004-12,16
2005-01,15
2005-02,17
2005-03,14
2005-04,14
2005-05,16
2005-06,11
2005-07,12
2005-08,11
2005-09,13
2005-10,14
2005-11,14
2005-12,12
2006-01,12
2006-02,11
2006-03,12
2006-04,11
2006-05,11
2006-06,9
2006-07,8
2006-08,11
2006-09,10
2006-10,11
2006-11,10
2006-12,9
2007-01,10
2007-02,10
2007-03,11
2007-04,10
2007-05,10
2007-06,9
2007-07,9
2007-08,9
2007-09,9
2007-10,11
2007-11,11
2007-12,9
2008-01,9
2008-02,10
2008-03,10
2008-04,10
2008-05,9
2008-06,8
2008-07,8
2008-08,7
2008-09,9
2008-10,10
2008-11,10
2008-12,9
2009-01,8
2009-02,9
2009-03,9
2009-04,10
2009-05,9
2009-06,8
2009-07,8
2009-08,8
2009-09,9
2009-10,9
2009-11,10
2009-12,9
2010-01,8
2010-02,9
2010-03,9
2010-04,9
2010-05,9
2010-06,9
2010-07,8
2010-08,8
2010-09,9
2010-10,9
2010-11,10
2010-12,9
2011-01,9
2011-02,10
2011-03,9
2011-04,9
2011-05,9
2011-06,9
2011-07,8
2011-08,8
2011-09,11
2011-10,13
2011-11,13
2011-12,11
2012-01,11
2012-02,12
2012-03,12
2012-04,12
2012-05,12
2012-06,10
2012-07,11
2012-08,11
2012-09,13
2012-10,12
2012-11,12
2012-12,12
2013-01,12
2013-02,12
2013-03,13
2013-04,13
2013-05,13
2013-06,12
2013-07,12
2013-08,12
2013-09,14
2013-10,16
2013-11,16
2013-12,14
2014-01,15
2014-02,17
2014-03,18
2014-04,18
2014-05,17
2014-06,16
2014-07,16
2014-08,17
2014-09,19
2014-10,20
2014-11,20
2014-12,19
2015-01,21
2015-02,22
2015-03,23
2015-04,26
2015-05,24
2015-06,24
2015-07,24
2015-08,24
2015-09,28
2015-10,29
2015-11,31
2015-12,30
2016-01,29
2016-02,33
2016-03,35
2016-04,35
2016-05,36
2016-06,37
2016-07,32
2016-08,36
2016-09,42
2016-10,45
2016-11,50
2016-12,48
2017-01,54
2017-02,58
2017-03,63
2017-04,63
2017-05,67
2017-06,69
2017-07,65
2017-08,68
2017-09,74
2017-10,79
2017-11,82
2017-12,78
2018-01,80
2018-02,84
2018-03,87
2018-04,84
2018-05,88
2018-06,86
2018-07,84
2018-08,86
2018-09,90
2018-10,95
2018-11,90
2018-12,86
2019-01,89
2019-02,100
2019-03,95
2019-04,96
